Year,Circuit,Driver,QualifyingPosition,RacePosition
2021,Bahrain Grand Prix,VER,,2.0
2021,Bahrain Grand Prix,HAM,,1.0
2021,Bahrain Grand Prix,BOT,,3.0
2021,Bahrain Grand Prix,LEC,,5.0
2021,Bahrain Grand Prix,GAS,,16.0
2021,Bahrain Grand Prix,RIC,,8.0
2021,Bahrain Grand Prix,NOR,,5.0
2021,Bahrain Grand Prix,SAI,,8.0
2021,Bahrain Grand Prix,ALO,,15.0
2021,Bahrain Grand Prix,STR,,11.0
2021,Bahrain Grand Prix,PER,,6.0
2021,Bahrain Grand Prix,GIO,,14.0
2021,Bahrain Grand Prix,TSU,,10.0
2021,Bahrain Grand Prix,RAI,,11.0
2021,Bahrain Grand Prix,RUS,,15.0
2021,Bahrain Grand Prix,OCO,,14.0
2021,Bahrain Grand Prix,LAT,,18.0
2021,Bahrain Grand Prix,VET,,17.0
2021,Bahrain Grand Prix,MSC,,18.0
2021,Emilia Romagna Grand Prix,HAM,,2.0
2021,Emilia Romagna Grand Prix,PER,,12.0
2021,Emilia Romagna Grand Prix,VER,,1.0
2021,Emilia Romagna Grand Prix,LEC,,4.0
2021,Emilia Romagna Grand Prix,GAS,,8.0
2021,Emilia Romagna Grand Prix,RIC,,6.0
2021,Emilia Romagna Grand Prix,NOR,,3.0
2021,Emilia Romagna Grand Prix,BOT,,9.0
2021,Emilia Romagna Grand Prix,OCO,,11.0
2021,Emilia Romagna Grand Prix,STR,,7.0
2021,Emilia Romagna Grand Prix,SAI,,5.0
2021,Emilia Romagna Grand Prix,RUS,,10.0
2021,Emilia Romagna Grand Prix,VET,,14.0
2021,Portuguese Grand Prix,BOT,,3.0
2021,Portuguese Grand Prix,HAM,,2.0
2021,Portuguese Grand Prix,VER,,2.0
2021,Portuguese Grand Prix,PER,,4.0
2021,Portuguese Grand Prix,SAI,,9.0
2021,Portuguese Grand Prix,OCO,,11.0
2021,Portuguese Grand Prix,NOR,,5.0
2021,Portuguese Grand Prix,LEC,,6.0
2021,Portuguese Grand Prix,GAS,,10.0
2021,Portuguese Grand Prix,VET,,14.0
2021,Portuguese Grand Prix,RUS,,16.0
